"iso","adm1","umd_tree_cover_loss__year","umd_tree_cover_loss__ha","gfw_gross_emissions_co2e_all_gases__Mg"
"NGA",9,2010,3324.78506082945087338,1593901.348435997034523
"NGA",10,2010,1534.32013260721746438,781611.308424317690266
"NGA",11,2010,15.38537159986056757,7987.766288481216401
"NGA",12,2010,12653.02644190841560357,6110820.430908592183523
"NGA",13,2010,764.48771909112124707,362614.313029128369842
"NGA",14,2010,93.03487083073758219,41300.629535078874502
"NGA",15,2010,65.4056434366797004,20598.90917895056650
"NGA",16,2010,0.15117753000868056,200.44949732986606
"NGA",17,2010,833.44959449013444317,403538.284364648065340
"NGA",19,2010,5.92254071766547354,2096.611576703175565
"NGA",21,2010,0.67636244984483519,161.444037735206262
"NGA",22,2010,10.11868034447862717,3114.647163343665088
"NGA",23,2010,1073.51196362884869605,479004.25734996145854
"NGA",24,2010,172.72864371927355952,62076.19088515708478
"NGA",25,2010,143.86787105951823773,72870.451261985907712
"NGA",26,2010,135.98404901023005722,38817.529511404814646
"NGA",27,2010,107.97237309026312708,33623.303586289255748
"NGA",28,2010,2293.13960097654423795,1057468.146017811189921
"NGA",29,2010,3733.57470739943716319,1682298.199737543448349
"NGA",30,2010,1306.85943826858672353,601778.90369895590060
"NGA",31,2010,582.60569449359081706,255470.665208685960608
"NGA",32,2010,1.06345480801106769,566.094579359785114
"NGA",33,2010,665.26037551502683981,338878.973980857396662
"NGA",34,2010,0.14967991370388456,44.878246815702044
"NGA",35,2010,1753.17539793054806946,537895.203918543980124
"NGA",36,2010,8.22851804043782528,3548.136293196470028
"NGA",37,2010,0.0751413306342231,37.41211867258363
"NGA",1,2011,448.74553247068376129,263754.694281579853945
"NGA",2,2011,160.05944237629984224,48911.474953559038641
"NGA",3,2011,390.34539502212119724,215811.502036876420093
"NGA",4,2011,83.55915666889809869,43968.724402127381932
"NGA",5,2011,0.07568568719021267,434.842707560254697
"NGA",6,2011,687.66534379911615071,366478.131041297288071
"NGA",7,2011,14.88937973454806812,5137.988463493340673
"NGA",8,2011,3.90442803021592914,421.852262602368121
"NGA",9,2011,1959.56247613085555426,990999.688711199583419
"NGA",10,2011,3430.25507790897659522,1699868.351402129957174
"NGA",11,2011,10.94616027213406133,6725.87332328620733
"NGA",12,2011,14344.90286683200740342,7475575.917938731371835
"NGA",13,2011,688.69793347621027583,344350.197332214009530
"NGA",14,2011,42.50495063992024573,19876.916430923253310
"NGA",15,2011,269.49874806636430146,85126.160959486388106
"NGA",16,2011,0.0,45.423052654343536
"NGA",17,2011,468.13866259658947247,245354.152903532204295
"NGA",19,2011,8.27697110616210936,2827.605788181139484
"NGA",21,2011,0.07514424528700088,17.647744565145604
"NGA",22,2011,0.45420575320692275,212.90031381599937
"NGA",23,2011,1539.15146005844005391,658519.913901298808450
"NGA",24,2011,491.18564580823036173,165111.54185066471695
"NGA",25,2011,690.21924679212443674,367304.199177859709211
"NGA",26,2011,236.88796711520107303,67771.821868502905830
